lat,lon,de,dn,du
59.5,-138.75,-0.01989,-0.0069,0.0
59.75,-138.75,0.00025,-0.02191,0.0
60.0,-138.75,-0.00586,-0.0117,0.0
60.25,-138.75,-0.00799,-0.01034,0.0
60.5,-138.75,-0.00896,-0.00977,0.0
60.75,-138.75,-0.00972,-0.00944,0.0
61.0,-138.75,-0.01061,-0.00932,0.0
61.25,-138.75,-0.01315,-0.00982,0.0
61.5,-138.75,-0.01467,-0.00993,0.0
61.75,-138.75,-0.01591,-0.01016,0.0
62.0,-138.75,-0.01689,-0.01029,0.0
62.25,-138.75,-0.01731,-0.01028,0.0
62.5,-138.75,-0.01761,-0.01026,0.0
62.75,-138.75,-0.01787,-0.01023,0.0
63.0,-138.75,-0.01808,-0.01019,0.0
63.25,-138.75,-0.01792,-0.01008,0.0
